channel_id,channel_title,channel_subscriber_count,channel_video_count,channel_view_count
UCoz3Kpu5lv-ALhR4h9bDvcw,Shroud,6810000,1428,1007951954
UCRAEUAmW9kletIzOxhpLRFw,Sykkuno,2890000,641,371445453
UC5v2QgY2D5tlu8uws23MG4Q,iiTzTimmy,1630000,745,270690657
UCckPYr9b_iVucz8ID1Q67sw,TenZ,1590000,251,156859008
UCIfAlCwj-ZPZq5fqjpYDX3w,Flights,918000,56,96612905
UCWphjEePrzIrRA5mwcOt_4Q,Grim,893000,226,107176110
UCxjdy5n9BxX_6RTL8Dt_7pg,Kyedae,880000,81,52712496
UCujyjxsq5FZNVnQro51zKSQ,fuslie,735000,785,120281865
UCTbtlMEiBfs0zZLQyJzR0Uw,tarik,661000,1269,160465751
UCgtbMb3djcXKj6CHerHwZ-A,MrLowlander,625000,366,182226931
UCQ4dS_JStXcK3A30isduBbg,noted,613000,393,73104319
UCqoJxH5s6xAiJ6QyevmuG7Q,Flexinja,474000,620,64033399
UC_wSuaxwUYsJOBZDWwHIQZg,QuarterJade,435000,383,71545194
UCdSad9tpJS8V8rL-4iuRuYw,xirena,393000,57,31534877
UCRN1XC7PnnTL5R_GbYOMCZg,Hiko,384000,394,55728176
UCFJ1pr8iwWPeQjmeHnPhqvA,Red,329000,294,53109590
UCeIcwvxA_e5Dvrqg3rsuN1w,Keeoh,339000,384,69056269
UCQ8VQZoYPeXF_q0E19UDGYQ,Ziptie,253000,238,81174305
UCdH7fwkQ5RGVAMIAN2ufm4Q,xChocoBars,243000,570,18828574
UCCBJqqk5h2hh8_WDGzrkRCQ,vkimm,235000,163,34621869
UC-_1FH52GIOFGu4a8PzwRzQ,Peak,172000,486,23956005
UCtTWOND3uyl4tVc_FarDmpw,Sydeon,115000,162,5914707
