,Comment ID,Comment,Likes,Replies
0,UgycPmobNQIhtOrN3Pl4AaABAg,KEKEKEKKEEKE ME AND EVA CORRUPTING EVERYONE MWAHAHAHHAA,161,1
1,Ugw6i4Fi4Lygilt_jjh4AaABAg,"Eva Jess and Celine, the trio we didn&#39;t know we needed",164,0
2,UgwV5IMXpcH7h-2cOj94AaABAg,Poor innocent Celine hearing her friends say dirty things and possibly getting her video demonotized. Still funny seeing her reaction tho.,70,0
3,Ugw_2wkfuBc8iRFllfd4AaABAg,Jess Chobo are unhinged and Celine is there like...WHY are you two like this?? Greatest trio content everybody didnt know they needed.,79,1
4,UgzrgYtA9molJzsH6lF4AaABAg,"This video was full of Celine smiling, what an absolute gift to the world.  Curious what your Chipotle order is.",21,0
5,UgwK-J-uNqMusSL1nFR4AaABAg,Eva’s become one of my favorite streamers to watch as of late. She’s so unintentionally funny and hella outta pocket sometimes. Well most times lmao,9,0
6,Ugz3Eyg5E9agoSsIBRN4AaABAg,"I love Celine&#39;s youtube videos. The content, the editing and just everything. Also being able to find Chobo through Celine has made me so happy.",8,0
7,UgzLsHYE5_7AaCx9tj54AaABAg,Thanks for introducing Eva and Jess to us! We love the unhinged valo streams!,2,0
8,Ugy9Lg_EIUXzx9Ml0sJ4AaABAg,"This stream introduced me to Eva and Jess, and my life has changed since",6,0
9,Ugx3CoM2_fvQvDuOPHp4AaABAg,"literally the best trio pumping out &quot;content&quot;, love you guys :3",0,0
10,UgykR-rTkahFAl3vkMJ4AaABAg,Celine has the best video&#39;s. Brings so much joy and laughter!,1,0
11,UgzOfj1WH_5Sw996D8x4AaABAg,when ryan and abe started singing the song back to Celine HAHAHAHHAHAHA SO FUNNY,7,1
12,UgwLeNU5B-bHjOR0F3x4AaABAg,Hahaha those 3 always makes so much chaos and so much lewd jokes its too funny,7,0
13,UgzKv8eZmehq_-xpU154AaABAg,These were such good streams XD,1,0
14,UgwCj1yYbzhxaxZJTGF4AaABAg,Always an instant thumbs up for Celine,2,0
15,UgzKVVPxgO03v7WalvV4AaABAg,The editor need a raise this video is just 10 minutes of edited laughter,3,0
16,UgzmGcFaAHe1IYXgBRR4AaABAg,this is the true degenerate content we like to see,6,0
17,UgxD11aR7w7T93eIJXd4AaABAg,Your friends are unhinged. I like it.,0,0
18,Ugw9rrLZFmSLgAU4cZp4AaABAg,"The wholesome christian valorant community has been corrupted ( ˘︹˘ ) Jokes aside, its good to see friends have a genuinely good time together. Having fun is underrated!",0,0
19,UgziAO6PX9Jk8C70MPF4AaABAg,"when Jess started talkin about the strapon i was afraid i knew where that was going,.....it went the way i thought it was going <br>shes unhinged",0,0
20,UgxbicRarb18MmDFbFN4AaABAg,chipotle song is the cuter and funnier song ever,6,0
21,UgzpLVpjGQTvUat2zjZ4AaABAg,"😂😂😂 love the YouTube vids, but the streams are live. This 5 stack is legendary haha",1,0
22,UgzeICY0otSaPcqTsLx4AaABAg,The video is missing Eva&#39;s slurp-eating noise 🤣,1,0
23,UgxwcW4yXHTaG2A1ozB4AaABAg,"<a href=""https://www.youtube.com/watch?v=Lc0IrV_zAWI&amp;t=7m54s"">7:54</a> the reason I stopped playing sova sometimes darts won’t detect and u think it’s safe till u walk into 3 people lined up and just demolishing u 😂",0,0
24,UgwWSJW8H_0JlqA5djV4AaABAg,WE LOVE TORMENTING CELINE KEKEKEKKEKEMEMEMMEMEME,2,0
25,Ugyb1JSQQc_SWXA2s2d4AaABAg,the unhinged valo hours are the best,0,0
26,UgwWrqQo-Avx6PzFu9x4AaABAg,Farming HUH&#39;s for 10 minutes and 39 seconds,5,0
27,UgzXXJf3qXkUIS33e-F4AaABAg,Absolutely unhinged degen trio. Also more W thumbnail art from viii,1,0
28,UgxxwzYvSYeGeOwUKd94AaABAg,Awesome video.,1,0
29,UgzWHNMncagmos3ao6B4AaABAg,Does anyone know the background music that is playing at the very start of the vid? Thank you :),0,0
30,Ugw9rqM8_Ra0ErkTWhR4AaABAg,hi celine&#39;s grandma,1,0
31,UgzNJ3z2EPFEFLNMYnJ4AaABAg,❤️,0,0
32,Ugx8HgsXB_ObnzbXAM14AaABAg,yep Valkyrae said so hehe,1,0
33,UgxHfTPMSTWsQ_KbXs54AaABAg,one hop this time,0,0
34,UgzPHYF7bGwqQ78Grzp4AaABAg,Completely normal,0,0
35,UgyCJeYdBYxJuniL1Vp4AaABAg,Eva and Jess are down bad.,1,0
36,UgyHN3DTMmgBrkbGiKl4AaABAg,Men are not stupid it&#39;s politically correct to say women are the best at everything no matter what and take it.,1,0
37,UgxLm6LnbF8QwKnShN14AaABAg,ririka ririka~,0,0
38,UgyLIh3FIOUJmc8Pwl94AaABAg,😳 huh?!,2,0
